danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.609,0.758,0,-4.885,0,0.0525,0.139,5.38e-06,0.11,0.236,124.949,219711,4,1
0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918,4,1
0.67,0.895,11,-5.294,1,0.0352,0.0943,0.0322,0.305,0.897,118.002,235963,4,1
0.771,0.565,7,-9.407,1,0.0299,0.672,0.000112,0.195,0.444,132.339,147021,4,1
0.613,0.661,9,-4.984,1,0.0263,0.00652,0.0,0.0976,0.509,110.978,230773,4,1
0.687,0.551,7,-9.202,1,0.0787,0.0593,0.000143,0.09,0.443,163.994,194166,4,1
0.803,0.895,1,-2.888,1,0.0623,0.0816,5.67e-06,0.154,0.757,124.994,219027,4,1
0.686,0.808,4,-6.709,1,0.0459,0.00161,0.0205,0.341,0.32,127.925,272035,4,1
0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4,1
0.618,0.837,1,-5.334,1,0.0304,0.000254,0.000341,0.0618,0.526,121.231,248336,4,1
0.766,0.539,7,-4.927,1,0.0479,0.402,0.0,0.104,0.888,120.175,188501,4,1
0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007,97960,4,1
0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4,1
0.679,0.657,4,-6.995,0,0.0361,0.000603,0.0238,0.0715,0.78,144.938,271969,4,1
0.662,0.905,11,-5.036,1,0.0383,0.0529,0.0521,0.202,0.857,117.997,303904,4,1
0.661,0.818,0,-5.814,1,0.0557,0.116,0.0,0.166,0.772,117.045,196219,4,1
0.697,0.874,5,-2.15,0,0.0449,0.0122,0.0,0.627,0.775,132.018,213880,4,1
0.72,0.688,11,-4.222,0,0.0346,0.063,2.63e-06,0.349,0.777,115.0,239375,4,1
0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4,1
0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,252307,4,1
0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,212568,4,1
0.605,0.942,7,-4.549,1,0.0655,0.016,0.0,0.137,0.8,106.562,209347,4,1
0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,205933,4,1
0.325,0.386,2,-8.231,1,0.0387,0.00728,0.0,0.0732,0.269,144.83,169773,4,1
0.522,0.84,7,-3.617,1,0.0611,0.0328,0.0,0.123,0.169,127.026,245808,4,1
0.64,0.619,8,-7.108,1,0.065,0.062,0.0,0.475,0.121,90.008,204852,4,1
0.726,0.53,4,-5.736,0,0.0518,0.000716,0.00211,0.0502,0.374,99.024,236364,4,1
0.646,0.938,0,-4.735,1,0.0754,0.0875,6.52e-06,0.447,0.545,120.708,248880,4,1
0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,197707,4,1
0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013,204520,4,1
0.683,0.611,4,-7.538,1,0.055,0.0338,1.54e-06,0.0588,0.748,171.922,136093,4,1
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,195873,4,1
0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,208187,4,1
0.522,0.957,2,-4.924,1,0.0687,0.0515,0.0014,0.144,0.917,170.91,178618,4,1
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,1
0.498,0.729,10,-6.583,0,0.039,0.0251,0.0227,0.233,0.372,130.125,189440,5,1
