danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.488,0.623,0,-4.873,1,0.0317,0.000713,0.0,0.131,0.171,129.874,196173,4
0.507,0.658,2,-8.074,1,0.0321,0.416,0.00553,0.103,0.429,133.959,190093,4
0.477,0.747,11,-7.188,1,0.0333,0.00437,0.011,0.158,0.578,150.997,184549,4
0.457,0.94,4,-5.41,1,0.0778,0.00126,0.00654,0.382,0.55,168.08,187871,4
0.428,0.606,3,-7.395,1,0.038,0.098,2.32e-06,0.169,0.533,160.525,211560,4
0.229,0.457,2,-7.457,1,0.0298,0.0979,0.000417,0.189,0.362,106.798,213987,4
0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976,213920,4
0.406,0.662,9,-9.548,1,0.0534,0.000947,0.183,0.383,0.653,127.482,220250,4
0.258,0.309,7,-14.651,1,0.0355,0.696,0.0264,0.12,0.293,77.649,155938,4
0.554,0.606,7,-5.74,1,0.0256,0.152,7.67e-06,0.282,0.599,93.991,220768,4
0.642,0.805,0,-6.015,1,0.0528,0.00318,9.23e-06,0.705,0.465,138.001,247004,4
0.518,0.496,10,-11.607,1,0.0292,0.41,0.1,0.0999,0.281,143.921,170893,4
0.31,0.884,1,-3.484,1,0.0566,1.13e-05,3.03e-06,0.121,0.276,137.762,205080,4
0.452,0.316,7,-9.082,1,0.037,0.764,0.0036,0.156,0.0756,117.711,275612,3
0.55,0.803,2,-3.608,1,0.0347,0.000561,0.000523,0.0266,0.877,130.015,164691,4
0.565,0.839,4,-5.161,0,0.0332,0.000335,0.113,0.329,0.855,134.98,191133,4
0.528,0.504,9,-8.821,0,0.09,0.559,0.0414,0.0936,0.712,141.369,237713,3
0.62,0.593,7,-10.985,1,0.0281,0.294,0.0,0.0749,0.833,109.044,234907,4
0.382,0.632,10,-6.416,1,0.0394,1.61e-05,0.945,0.0644,0.102,117.972,186965,4
0.331,0.357,9,-7.627,1,0.0339,0.00167,1.42e-05,0.189,0.322,172.695,155507,3
0.41,0.475,0,-4.649,1,0.031,0.00935,0.00842,0.115,0.284,148.732,206495,4
0.445,0.404,7,-8.896,1,0.0279,0.605,0.0522,0.109,0.117,72.991,220240,3
0.688,0.737,6,-9.31,0,0.0672,0.0769,0.632,0.114,0.671,131.041,194760,4
0.427,0.816,6,-4.887,0,0.0415,0.000153,0.384,0.214,0.684,155.973,179974,5
0.201,0.91,11,-4.288,0,0.104,0.00074,0.0618,0.115,0.67,192.209,144981,4
0.371,0.51,11,-7.352,1,0.0276,0.754,0.125,0.139,0.192,161.006,435080,4
0.293,0.582,7,-7.46,1,0.031,0.0019,0.000743,0.317,0.313,92.303,159921,4
0.46,0.772,0,-9.233,1,0.0444,0.131,0.0412,0.0527,0.531,138.002,278267,4
0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,229760,4
0.475,0.516,2,-6.834,1,0.0352,0.715,0.000167,0.128,0.172,119.954,193776,3
0.716,0.515,1,-9.073,1,0.0261,0.00116,0.000249,0.326,0.315,117.039,153320,4
0.329,0.857,11,-3.681,1,0.0496,0.00878,0.0725,0.156,0.476,143.482,231160,4
0.178,0.457,11,-7.48,1,0.0312,0.834,0.0244,0.133,0.128,180.343,234969,3
0.731,0.515,0,-7.584,1,0.122,0.385,0.00216,0.236,0.448,116.798,199907,4
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,158293,4
0.494,0.668,7,-3.431,1,0.0382,0.000235,0.000366,0.256,0.738,114.459,131467,4
0.534,0.777,6,-9.832,1,0.0314,0.00204,0.866,0.111,0.614,105.279,363267,4
0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016,201253,4
