name,artist
Houdini,Eminem
I Had Some Help (Feat. Morgan Wallen),Post Malone
BIRDS OF A FEATHER,Billie Eilish
Espresso,Sabrina Carpenter
A Bar Song (Tipsy),Shaboozey
MILLION DOLLAR BABY,Tommy Richman
Not Like Us,Kendrick Lamar
"Good Luck, Babe!",Chappell Roan
Stargazing,Myles Smith
Please Please Please,Sabrina Carpenter
Pink Skies,Zach Bryan
Austin (Boots Stop Workin'),Dasha
Saturn,SZA
Too Sweet,Hozier
LUNCH,Billie Eilish
Beautiful Things,Benson Boone
Fortnight (feat. Post Malone),Taylor Swift
End of Beginning,Djo
Close To You,Gracie Abrams
Lose Control,Teddy Swims
i like the way you kiss me,Artemas
we can't be friends (wait for your love),Ariana Grande
Nasty,Tinashe
Yeah Glo!,GloRilla
Like That,Future
Tell Ur Girlfriend,Lay Bankz
I Can Do It With a Broken Heart,Taylor Swift
BAND4BAND (feat. Lil Baby),Central Cee
Miles On It,Marshmello
one of wun,Gunna
Belong Together,Mark Ambor
Whatever She Wants,Bryson Tiller
Water,Tyla
Wind Up Missin’ You,Tucker Wetmore
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs
Snooze,SZA
Slow It Down,Benson Boone
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Sexy to Someone,Clairo
Scared To Start,Michael Marcagi
Lovin On Me,Jack Harlow
360,Charli xcx
redrum,21 Savage
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd
Gata Only,FloyyMenor
greedy,Tate McRae
Stick Season,Noah Kahan
Feel It - From The Original Series “Invincible”,d4vd
CARNIVAL,¥$
Get It Sexyy,Sexyy Red
Espresso,Sabrina Carpenter
Houdini,Eminem
BIRDS OF A FEATHER,Billie Eilish
MILLION DOLLAR BABY,Tommy Richman
LUNCH,Billie Eilish
Gata Only,FloyyMenor
I Had Some Help (Feat. Morgan Wallen),Post Malone
Not Like Us,Kendrick Lamar
Too Sweet,Hozier
i like the way you kiss me,Artemas
Beautiful Things,Benson Boone
A Bar Song (Tipsy),Shaboozey
BAND4BAND (feat. Lil Baby),Central Cee
CHIHIRO,Billie Eilish
we can't be friends (wait for your love),Ariana Grande
Fortnight (feat. Post Malone),Taylor Swift
End of Beginning,Djo
Lose Control,Teddy Swims
Stargazing,Myles Smith
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd
Pink Skies,Zach Bryan
Santa,Rvssian
Cruel Summer,Taylor Swift
WILDFLOWER,Billie Eilish
"Good Luck, Babe!",Chappell Roan
Austin (Boots Stop Workin'),Dasha
As It Was,Harry Styles
Si No Quieres No,Luis R Conriquez
Belong Together,Mark Ambor
I Can Do It With a Broken Heart,Taylor Swift
LUNA,Feid
BLUE,Billie Eilish
Like That,Future
Sweater Weather,The Neighbourhood
Slow It Down,Benson Boone
L’AMOUR DE MA VIE,Billie Eilish
I Wanna Be Yours,Arctic Monkeys
Saturn,SZA
Stick Season,Noah Kahan
The Night We Met,Lord Huron
Magnetic,ILLIT
SI NO ES CONTIGO,Cris Mj
greedy,Tate McRae
FE!N (feat. Playboi Carti),Travis Scott
Madonna,Natanael Cano
Pedro,Jaxomy
See You Again (feat. Kali Uchis),"Tyler, The Creator"
My Love Mine All Mine,Mitski
Supernova,aespa
Flowers,Miley Cyrus
Man In Finance (G6 Trust Fund),Girl On Couch
No Face,Ghostface Killah
Potra Salvaje - Hard Remix,Isabel Aaiún
6 In the Morning (feat. Nate Dogg),Flex (UK)
Paon Ki Jutti,Jyoti Nooran
BIRDS OF A FEATHER,Billie Eilish
Maxed Out,Bayker Blankenship
Nasty,Tinashe
Stargazing,Myles Smith
Suniyan Suniyan,Juss
Give Me Everything - Stripped Down,Archer Marsh
KEHLANI,Jordan Adetunji
Sudden Shower,ECLIPSE
"Good Luck, Babe!",Chappell Roan
MILLION DOLLAR BABY,Tommy Richman
MTG QUEM NÃO QUER SOU EU,DJ TOPO
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Jaani
WOKE UP,XG
Spring Snow,10CM
Sagrado Profano,Luísa Sonza
A Bar Song (Tipsy),Shaboozey
Sonho Dela (Cowboy),CountryBeat
CHIHIRO,Billie Eilish
LUNCH,Billie Eilish
CHEGOU 3,shonci
"Sajni (From ""Laapataa Ladies"")",Ram Sampath
Düşer O,İzel
L’AMOUR DE MA VIE,Billie Eilish
Fall Back,Lithe
Supernova,aespa
Te Maceto Depois do Baile,DJ Zigão
Amor,emmanuellcortess_
Espresso,Sabrina Carpenter
Niscaya,Bilal Indrajaya
MTG QUERO VER SE VOCÊ TEM ATITUDE,Dj Luan Gomes
BLUE,Billie Eilish
WILDFLOWER,Billie Eilish
WYA REMIX RED,J Abdiel
Not Like Us,Kendrick Lamar
to bem,Jovem Dionisio
GANG,Kairo Keyz
Machuquei,Mc guizinho niazi
Sweet Dreams,Koe Wetzel
Elini Ver,Amo988
Never Stop,ian
Laced max,LAZER DIM 700
Ben Sana Gelemem,Mela Bedel
Hala Madrid ...y nada más,Real Madrid
Aku Yang Jatuh Cinta,Dudy Oris
I Had Some Help (Feat. Morgan Wallen),Post Malone
BAND4BAND (feat. Lil Baby),Central Cee
Not Like Us,Kendrick Lamar
Type Shit,Future
one of wun,Gunna
Family Matters,Drake
Like That,Future
Whatever She Wants,Bryson Tiller
redrum,21 Savage
Cinderella,Future
prada dem (feat. Offset),Gunna
Yeah Glo!,GloRilla
Bandit,Don Toliver
CARNIVAL,¥$
FE!N (feat. Playboi Carti),Travis Scott
Boogieman,EBK Jaaybo
euphoria,Kendrick Lamar
Young Metro,Future
Sunday Service (feat. Megan Thee Stallion & Flo Milli),Latto
all of me,21 Savage
HOT ONE (with TiaCorine & A$AP Ferg),Denzel Curry
Let's Go,Key Glock
Push Ups,Drake
PLAY DA FOOL,Moneybagg Yo
Mmhmm,BigXthaPlug
Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver
Monsters Inc. (feat. Future),Ski Mask The Slump God
Get It Sexyy,Sexyy Red
FUK SUMN,¥$
Wanna Be (with Megan Thee Stallion),GloRilla
ONE CALL,Rich Amiri
Back On My BS,BigXthaPlug
Talk My Shit,BossMan Dlow
née-nah,21 Savage
on one tonight,Gunna
HEAT STICK,Shoreline Mafia
act ii: date @ 8 (feat. Drake) - remix,4batz
Crocodile Tearz,J. Cole
"FTCU (feat. Travis Scott, Chris Brown & Sexyy Red) - SLEEZEMIX",Nicki Minaj
Breathe,Yeat
Swear to God (feat. Future),Tee Grizzley
Never Lose Me,Flo Milli
Survivor’s Remorse,Roddy Ricch
H.Y.B. (feat. Bas & Central Cee),J. Cole
U My Everything (feat. Drake),Sexyy Red
Winners In Paris,Sleepy Hallow
Angels In The Sky,Polo G
OKAY,JT
Enough (Miami),Cardi B
5AM IN PHILLY,Meek Mill
BOA,Megan Thee Stallion
Messed Up As Me,Keith Urban
I Had Some Help (Feat. Morgan Wallen),Post Malone
Beautiful As You,Thomas Rhett
your place,Ashley Cooke
Wind Up Missin’ You,Tucker Wetmore
A Bar Song (Tipsy),Shaboozey
Austin (Boots Stop Workin'),Dasha
Worst Way,Riley Green
ghost in my guitar (feat. Chris Stapleton),Alana Springsteen
Holy Smokes,Bailey Zimmerman
Cowgirls (feat. ERNEST),Morgan Wallen
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs
Indifferent,Megan Moroney
"Love You, Miss You, Mean It",Luke Bryan
Make It Look Easy,Avery Anna
Bulletproof,Nate Smith
What He'll Never Have,Dylan Scott
Called Crazy,Kassi Ashton
Darlin',Chase Matthew
Burn It Down - Radio Edit,Parker McCollum
Good On You,Priscilla Block
Devil You Know,Tyler Braden
Old Dirt Roads,Owen Riegling
Breakin' in Boots,Matt Stell
Whiskey Blues,Tanner Adell
Single Again,Josh Ross
Jack and Diet Coke,Redferrin
Boys Back Home,Dylan Marlowe
TEXAS HOLD 'EM,Beyoncé
Miles On It,Marshmello
Strangers,Kameron Marlowe
